"File","Issue","Detail"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\call-bind-apply-helpers\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\call-bind-apply-helpers\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\call-bound\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\call-bound\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\debug\src\browser.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\debug\src\debug.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\debug\src\inspector-log.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\dunder-proto\test\get.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\dunder-proto\test\set.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\dunder-proto\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\es-define-property\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\es-define-property\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\es-errors\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\es-errors\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\es-object-atoms\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\es-object-atoms\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\express\lib\response.js","HARDCODED PORT","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\function-bind\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\function-bind\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\get-intrinsic\test\GetIntrinsic.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\get-intrinsic\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\get-proto\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\get-proto\package.json","CONSOLE LOG","Match found"
